"year","mean_temp","total_precip","total_snowfall"
2000,-0.66248223420211,14748.5251444274,7234.13852028368
2001,-0.267265040770072,14602.8803669811,5913.22113447257
2002,-0.276233947181608,15167.8285020126,6871.38628479854
2003,-0.0736640017281279,14758.8522702135,5107.60843583578
2004,-0.282540901434872,15351.2481370598,6284.07434383564
2005,-0.641211635666162,13726.8192368844,6551.34407087696
2006,-0.704034459806568,15192.3482816932,6550.51826686768
2007,-0.841631798994297,14705.2077242692,7266.90790585016
2008,-0.281642423280403,15083.5049693102,5827.06042817255
2009,-0.565484654327303,14189.9164154631,7040.7098211944
2010,-0.0173407686965151,16447.9221732894,6171.8784903385
2011,-0.178723667317315,14123.2708127014,6394.83796640669
2012,0.057164596037856,16502.8710762546,6472.15455461886
2013,-0.163142073474895,14818.6340187032,6386.28789639162
2014,-1.03690318364077,14989.5338461558,7256.0904443392
2015,-0.442925854874572,15051.5712821644,6689.03476003867
2016,0.238425872309003,14740.0359285957,5459.97705078815
2017,0.497036995177962,14758.3907343473,4694.40466133445
2018,0.16039915314288,14992.6586851728,5905.51945363754
2019,0.0959619648374876,17505.2135770178,7405.7520540579
2020,0.0244517929387686,15190.9577248586,5870.116402548
2021,-0.0852230695301188,15083.6936312656,5628.48273539582
2022,-0.085845147838559,14618.4399386835,5982.7915201361
2023,0.564400520918692,14147.9579260514,4613.29307849303
2024,0.204538769177306,14417.5500528972,4400.16044592288
