month,n_obs,mean_albedo,median_albedo,sd_albedo,min_albedo,max_albedo,q25_albedo,q75_albedo,iqr_albedo,cv_albedo,month_name
1,382,0.37239939951767836,0.3714734639928775,0.03121889521251283,0.276581326137256,0.56996219788439,0.3549327747225067,0.392878445222239,0.0379456704997323,8.38317549731463,Jan
2,365,0.34586796948959736,0.348190967782881,0.02958938135995705,0.259360125139026,0.501115388934984,0.326224495039884,0.36682243070655,0.04059793566666603,8.555108876841807,Feb
3,396,0.3248780919484586,0.321493511283352,0.0428613634308478,0.214383742440159,0.554588851514517,0.2994256351958068,0.34738475941039704,0.047959124214590254,13.193060564283199,Mar
4,388,0.296270646666081,0.2985850109068965,0.03385139247195736,0.188168254556637,0.390304036165079,0.2742895076876875,0.3172785004576402,0.042988992769952716,11.425834065198634,Apr
5,398,0.27917789827307055,0.27945047421597,0.04813932231581501,0.0750848328742857,0.495849750299253,0.25583244578997477,0.3072271258635515,0.051394680073576726,17.243242611106986,May
6,350,0.2908529321842097,0.292747624430506,0.06996509625832843,0.0370234446526034,0.484543335619847,0.25382328247367597,0.3322441996400945,0.07842091716641852,24.055145579215452,Jun
7,371,0.290248927333615,0.287290829441023,0.044849374706218637,0.133481155857859,0.48417249091347,0.2656615859393825,0.3111158876093495,0.045454301669967,15.452038055137518,Jul
8,364,0.3384350578093293,0.33474008059121096,0.04772808134823859,0.189551840314687,0.61108313254489,0.307206202198409,0.372564624780195,0.06535842258178598,14.102581942065848,Aug
9,360,0.382292801831767,0.385349720338089,0.03803425863251752,0.23171619710289,0.615277929055837,0.358844333626999,0.4098712582876228,0.05102692466062375,9.94898633986182,Sep
10,369,0.411297512043682,0.410818360813438,0.031712048129905857,0.321056783352444,0.474002980037634,0.39193843682143,0.436303741506675,0.04436530468524502,7.710245552503578,Oct
11,353,0.40460057616662315,0.40558374724623403,0.03926297813376701,0.333338287618125,0.722984681896633,0.37918250012254,0.427713748848197,0.048531248725657006,9.704133025652855,Nov
12,370,0.3842335399152276,0.383965734844401,0.04232913091629513,0.240719737290866,0.471263429092793,0.3626457991591085,0.41782746207160404,0.055181662912495544,11.016511188907167,Dec
